text,label
Dünya Savaşı sırasında kullanılan hafif tank sınıfında zırhlı savaş aracıydı .,Notr
"ürün beklediğimden hızlı elime ulaştı.2-3 katı pahalılarından ne farkı var anlamadım.hem kaliteli,hem şık duruyor.herkese tavsiye ederim",Positive
seni siken oluyor mu ya çünkü sağlam bir mide lazım seni sikmek için,Negative
ürünü tavsie üzerine bir beden büyük aldım. 56 kiloyum l beden aldım. üst kısmı rahat oldu. spor esnasında rahat hareket sağlıyor.. kendi bedenimi alsam üst tam olurdu. şimdi geleceğe yatırım yapmış oldum :),Positive
" sıkıntıdan patladım, gitmeyin, film başladıgında 50 kişi fln vardı, filmin yarısından sonra 20 kişi kaldı.. Film sonunda sadece 15 snlik bir flashback var, başka bir sahne yok.. ",Negative
Çok mutluyum .,Notr
ben ürünü geçen hafta aldım.ancak alım yapmadan iyice araştırdım bu kalitede bu fiyata başka ürün yok. tavsiye ediyorum bitmeden yetişin.,Positive
kurs için aldım. oldukça hatta beklentimden de iyi bir alet..,Positive
Bu kitap ilk kitabın aksine bir otobiyografi değildir .,Notr
Dış cephesinde birkaç yazılı taş ve batı cephesinde yüksek kabartma geçidi vardır .,Notr
Şiirlerinde sıklıkla tarih ve anavatan temalarını işlemiştir .,Notr
çok mükemmel fiatı da uygun,Positive
"siparişten bir gün sonra elime ulaştı, severek kullandığım bir ürün gayet memnunum. ayrıca hediyeleriniz için çok teşekkür ederim.",Positive
araştıran kişilere şunu söylemem gerek kesinlikle fazla para vermenize gerek yok. ürün çok kaliteli ve özellikle bu fiyata çok çok iyi.,Positive
"kömürle mangal yapmak bir işkenceydi. toz duman ıs koku .bu çok güzel temiz ve çok çabuk ısınıyor. hemen istediğiniz eti koy pişir en fazla 10 dakika etler hazır. misafir gelse bile gelse hiç bekletmeden misafirine ızgara keyfi.. temizliği desen en güzeli ,neredeyse bütün parçaları çıkıyor, .temizliği de çok hoşuma gitti..",Positive
bu ürünün siparişimden önce evdeki ampulleri bozuldukça ledler ile değiştirmeye başlamıştım.5 watt 4 watt led ampuller kullanıyorum.piyasaya yeni çıkan bu ürünü denemek istedim.iyiki almışım aydınlatması normal ampul gibi 100 vatlık ampul değerinde ışık veriyor.,Positive
"Son kısımda yerde mozaik biçimli kalsit kristalleri bulunan alana ""hamam"" denilmektedir .",Notr
Bu tarihler aynı zamanda Balkanlar’da Osmanlı İmparatorluğu’na karşı girişilen isyanların artmaya başladığı dönemdir .,Notr
kargo bedava seçeneği ile aldım. ,Positive
"sonuçta çok şık, güzel bahçeye yakışan bir kulübe. köpeklerimizi hava şartlarından koruyacaktır. aldığıma memnunum.",Positive
Günümüzde Peştuca Afganistan’da eğitim dilidir .,Notr
Tartışmalar özeldir ve dışa kapalıdır .,Notr
siparişi verdikten sonra ertesi sabah elime ulaştı. fiyat olarak oldukça uygun olduğu gibi kaliteli de bir ürün. tavsiye ederim. i̇htiyacınızı gidericektir.,Positive
Tugayı desteklemek için güneye gönderildi .,Notr
Güçlü ve yetenekli bir siyasi kişiliğe sahip olduğu söylenmektedir .,Notr
almaya değer. gerçekten güzel bir ürün,Positive
süper yapıştırıcı,Positive
" Bir cok mantık hatasıyla dolu olan, ve anlamsız olaylardan olusan süper bi film. Zamanım cok, ve gercekten kötü bir film izlemek istiyorum diyorsanız, buyrun.. Hic cekinmeden izleyebilirsiniz.. ",Negative
İki devreli olarak oynanan sezonu Moda takımı şampiyon olarak tamamladı .,Notr
önceden de almıştım. halen kullanıyorum. bunu kızıma aldım. çok memnunum. tavsiye ederim.,Positive
Bu tarihten itibaren mahallenin adı Kışla olarak kalmıştır .,Notr
Organize olmak her şeydir .,Notr
Maddi bir ödül verilmemektedir .,Notr
"urun guzel,ucretsiz kurulum yapıldı tesekkur ederim..",Positive
dunyanin en vasifsiz adami taytli selim yine agziyla sicmisgereksiz ibne,Negative
 süper film yok böyle bir akış ısrarla tavsiye ediyorum ,Positive
fiyat / performans çok iyi. teşekkürler ,Positive
berbather sene tatil için otele gideriz bu en kötüsüydü eğlence yok aktivite yok yemek yok animasyon sıfır bir tatilden başka ne beklenebilirki elamanlar suratsız nasıl konuşacaklarını bilmiyorlar laubali bir tavır var buda tabiki yönetimle alakalı  gün kaldık ailemle birlikte genel müdürü bırakın sıradan bir yetkili göremedim hal hatır soran yok zaten bizler gelip geçici adamlar rusları ağırlryor herşey onlar için bir daha yanından bile geçmem,Negative
sonuç: fazla bütçem yok ama iyi birçamaşır makinasına ihtiyacım var diyenlere öneririm.  hatta çamaşır makinasına fazla para vermek istemeyenlerde bu ürünü alıp ziyadesiyle memnun kalabilirler.,Positive
arkadaslar once aracimi sonax sampuan ile yikadım arkasından ardindan cilalı sampuan ile yikadım. son olarak araci tamemen islayip sonax hizli cila ile maquraus pad ile ıslak yuzeyde bolgesel olarak aracın tamamıne uyguladım. sonra yikadım sonra ayni islemi tekrar yaptim. aracim nasil parladi inanamazsiniz.. urun tek kelimeyle harika keske iki ane alsaydim dedim kendi kendime simdi 2 tane daha siparis vermeyi planliyorum. not bu arada aracim seker beyazi..,Positive
Gövde veya bagaj bölmesi çoğu zaman aracın arkasında bulunur .,Notr
"spor yaparken kullanıyorum, burun kanalını en azından yarı yarıya açıyor, bu da soğuk havalarda çok işe yarıyor, çok memnunum, piyasadaki bantların en iyisi diyebilirim.",Positive
burdan almak çok daha kolay,Positive
"ev kullanıcı için ideal bir ürün. ben aldığımda yanında hediyesi yoktu. bence bu hediyeyi değerlendirin. ayrıca piyasa fiyatının biraz daha altında hepsiburada.comdan alabilirsiniz, bosch kalitesini yaşayın...",Positive
montajda zorlandım. montajı yaptıktan sonra çok beğendim. tavsiye ederim.,Positive
Geniş sahalara yayılan hafif yağmurlar görülür .,Notr
 tek kelime ReZaLet ,Negative
ürünü indirim döneminde aldım. aynı gün kargoya verildi ertesi gün elimdeydi.kaliteli bir ürün. bir beden büyük almanızı tavsiye ederim. teşekürler hepsi burada.,Positive
O televizyon programı yapmak istedi .,Notr
"fiyatina gore fena olmayan bir urun. bu paraya asiri bir kalitede beklememek lazim. memnunum , yalniz tek sıkıntısı kullandiginiz ampule gore lambayi one dogru egdiginizde one dogru devrilebiliyor lamba.  i̇lk taktigim ampul 15 w lik tasarruf ampuluydu agir geldi sanirim devrilme yasadim , sonra 7 w luk led taktim sorun simdilik. ",Positive
"dostlar,ben bunu annemin dizindeki rahatsızlığı için almıştım.bundan 3 sene öncede doktorumuz bu dizlikten vermişti.ancak bizim aldığımız çok pahalı ve ayarlama cırtları olmayan bir üründü.annem en fazla bir hafta kullandı.duruyor.bu ürünün farkı cırtlı oluşu.buna rağmen biz annemin tam dizinin arkasındaki şişlikten dolayı buda olmadı.ne var ki bu ürün ayarlandığından belki anneciğim kullanamayacak ama farklı kişiler kullanabilecek.dizin tam ortasının açık olması kullananlar açısından harika.fiyatı ise benim gibi",Positive
Bir süre sonra ise hurda olarak satıldı .,Notr
hüzün alabildiğine hüzün gece de,Positive
Cemiyetin Müslüman olmayan ilk üyelerindendir .,Notr
rahatlarıcı güzelotel konum olarak çok güzel girişte farkı anlıyorsunuz zaten sakin ormanlık alan çam agaçları tesisi sarmış vaziyette odalar bakımlı ve temiz villa biçiminde konuşlanmış bahçesi oldukça geniş teras çok iyi düşünülmüş günümüm önemli bir bölümü teras ta geçti garsonlar iligil yemekler doyurucu ve lezzetli su sporları yapma imkanımız oldu bitki örtüsü oldukça fazla kel kalmış veya suni çimleme yapılmış yerlere benzemiyor animasyon iyi ama biaz müzik sesini kıssalar iyi olacak akşamları mini disko yapıyorlar havuz başında gecede canlı muzik dediğim gibi müziğin sesi yüksek bunu kısmaları lazım otel aileleri her halukarda memnun edecek kadar güzel ve yeterli ayvalıgın en güzel oteli bu kesin,Positive
Ordularını Filistin yönünde yürüyüşe kaldırarak Osmanlı İmparatorluğu üzerine yürümeye başladı .,Notr
Bu uyuşmazlık anlaşmayı bozdu .,Notr
tavsiye ediyorum.tek kullanımlık devrine son verdim böylece.,Positive
siparişi verdiğimin ertesi günü ütü masama kavuştum :)) defalarca kere alışveriş yapmış biriyim. şimdiye kadar memnun olmadığım hiçbir alışverişim olmadı. benim gibi 1+1 evde oturanlar için ideal tasarımıyla ve pratik kullanmıyla mükemmel ütü masası. ebat olarak küçük olduğu için evin herhangibiryerinde açık olarakta bırakabiliyorsunuz. alacak olanlara öncelikle kullanımdaki pratikliği daha sonra da fiyatı konusunda tavsiye ederim.,Positive
Bu beygir gücü konsepti yaklaşık yirmi yıl süresince markanın birçok reklamında kullanıldı .,Notr
arkadaşlar ilk kez geciktirici kullanıyorum ve çok memnun kaldım.,Positive
Haydi ordan orospu  sene 2016 . Türbanlı fahişe,Negative
daha önce almiştim çok memnun kaldim şu anda 2. yi̇ aliyorum memnun kalmasam almazdim toner ve drum ayri olmasi çok güzel hemde orji̇nal toner çok ucuz,Positive
Aktif hizmetine devam etmektedir .,Notr
5.5 x modelini aldım. telefon on numara. hızı çok iyi. kasa süper bende beyaz var. bu fiyata alınabilecek en iyi telefon. düşünmeden alabilirsiniz.,Positive
 harry potterın en kötü filmiydi diyebilirim.. hiç beğenmedimm ,Negative
ürünün işciliği güzel ve  beklediğimden daha çabuk elime ulaştı teşekkürler,Positive
kılları doğru düzgün almıyor. ayrıca deriyi de soyuyor. philips gibi markadan bu kadar kalitesiz bir ürün beklemezdim.,Negative
Klibinde Ferhan Şensoy oynamıştır .,Notr
ürün kısa sürede elime geçti.kaliteli ve sağlam.esneme işi yaylarla sağlandığı için yaylardan ses gelmesi normal.abartılı bir ses değil.40 inç ideal büyüklük bir küçüğü de olabilir.tavsiye ederim.teşekkürler hepsiburada,Positive
Kırklareli İlinin güneybatı ucunda bulunmaktadır .,Notr
"her bakımdan, görüntü kalitesinden tutun da pil ömrüne kadar herşeyiyle muhteşem bir ürün. tavsiye etmiyorum, sadece alin diyorum.",Positive
 bencede cok ii bi filmdi kurgu güseldi senaryo iyiydi ben afflecki pek sevmemem ragmen film gayet ii ,Positive
Stadyumun adı iki futbol kulübü tarafından farklı adlandırılmaktadır .,Notr
yazıldığı gibi esnek havuzda iş görüyor. profesyonel yüzücü olmadigimizdan iş görüyor.,Positive
süpürgenin çekiş gücü süper. ama aparatı ucu için aynı olumlu düşüncelerim yok. neden mi çünkü orjinal aparat ucu çekim gücünü nerdeyse yok ediyor. hali üzerini süpürürken aparat ucu o kadar kötü ki hiç bisi çekmiyor. ama ben bu sorunu bir milyoncudan aldığım 5 liralık aparat ucu ile hallettim ve inanın böyle süper bir çekim gücü yok. bir de aparat yıkamak 2 3 dk lık bir uğraş veriyor. onun dışında  makina süperrr.,Negative
Ben tesise söyledim sizede söylememe gerek yok.,Negative
"2. asus telefonum,fiyatına göre şuan piyasadaki en uygun ve kaliteli telefon.ayrıca kargolama ile ilgili olarak ilginiz için teşekkürler...",Positive
"ürünü yaklaşık 2 haftadır iş yerinde kullanıyoruz, gerçektende çok güzel kahve yapıyor. almak için düşünenler varsa tavsiye edebilirim. çok kulanışlı bir ürün...",Positive
tesekkur ederim guzel ürün.,Positive
 Puanı çok az.Al Pacinonun görünmediği kare yok.Mütiş bişey.Türkçr dublaj filmi batırıyor.Cnbc-e acilen filmi orijinal olarak sansürsüz vermeli... ,Positive
Gölet sebebiyle sulu tarımda belirli bir artış sağlanmıştır .,Notr
Aynı dosyayı isteyen bir başka kullanıcı yine kaynak olan bilgisayardan parçayı indirmeye başlar .,Notr
Müzelerin koleksiyon yönetim politikaları doğrultusunda şekillenir .,Notr
Hem skaler çarpma hem de çarpma işlemi aynı biçimde gösterilir .,Notr
gelen ürünler çok kötü çıktı. ,Negative
2 günde bozuldu iğrenççç,Negative
" Film o kadar kötüykü yorum bile yazasım gelmiyor ama ; böyle filmler izleyince geleceğe dair endişelerim ortadan kalkıyor. Gelecekte uzaylılar dünyamıza ziyaret ederse bizim gibi ülkelerle uğraşmazlar, direk Amerika'ya giderler. Amerikan gençliği, uzaylılar bize musallat olmadan onları dünyamızdan kovar. Takıldığım başka bir noktada filmdeki uzaylılar ile ilgili ; sen tut uzaydan gel, teknolojin üst seviyede olsun,ışık hızında uç, o devasa yok edici çarkları icat et ama senin denizdeki uzay aracın hantal hantal zıplayarak gitsin. Bu da ayrı komiklikti.Çok kötü öyle böyle değil. ",Negative
saç düzleştirici almaya karar verdikten sonra birkaç sitede fiyat karşılaştırması ve yorum bulabilir umududu ile araştırma yaptim. hepsiburada zaten alışveriş yaptığım güvenli bir site olduğu için buradaki yorum çeşitliligi karar vermemde öncelikli oldu. benim saçlarim duz olduğu için ürün saçıma daha  duz elektriklenmeyen etki yaratmasi amacıyla aldım ve beklentilerimi fazlasıyla karşılayan bir ürün olduğunu söyleyebilirim. saçlarımı hiç koparmadan düzleştiriyor. üstelik düz etkisi uzun süre gidiyor .dalgalı etki yaratan özelliği tam çözemedim almak isteyenler için kaliteli bir ürün. kargo 3 gun içinde geldi .braun kalitesi tartışılmaz. teşekkürler hepsiburada...,Positive
hızlı ve sorunsuz şekilde gönderildi ürün tam istediğim gibi teşekkürler .,Positive
"kolay kolay bu tür bir yorum yapmam ama lenovo k5 note 32 için (dahili bellek 32 gb) bu yorumu yapıyorum. mükemmel bir telefon. i̇leri güç tasarruf seçeneği ile, kulağına götürdüğünde kendiliğinden cevap veren özelliği ile, ters çevirdiğinde kendini kapatmasıyla, çalarken ellediğinde sesini kısmasıyla gerçekten mükemmel bir telefon. korkusuzca alabilirsiniz.",Positive
terbiyesiz ve rezil bir işletme geçen sene kalacak yer bulamayıp yörük ali yi tercih ettim  oda temizliği buradaki her yorumdaki gibi berbat  akşam yemeği için öve öve bitiremedikleri teras cafeye gittik  yiyecek birşey bulamadım ne sorsam o yok bu yok en sonunda tavuklu salatalı bir menu var fiyatı yazmıyor en azından onu yiyeyim dedim bir tavuk geldi içinde kıl tüy ne ararsan var tavuğu yeni kesip tüyüyle kızartmışlar sanki neyse mide bulantısıyla birlikte hesap istedim nasıl hesap yapıldı biliyor musunuz tavuk   salata:  milyon iki tane menu  tl üstüne su ve ayran:  tl düşünebiliyor musunuz istanbulun en lüks yerinde yeseniz taş çatlasa  tl ödersiniz resmen sizi gerizekalı yerine koyuyorlar saygısız terbiyesiz insanlar kimse burayı tercih etmesin herkesi ağına düşürmüş birer av olarak görüyorlar,Negative
Takma saç takıp saçlarımın uzun haliyle aşk yaşadım saç uzatma duası falan bilen var mı ,Positive
Bu nedenle tekrar sürgüne gönderildi .,Notr
çok kaliteli ve güzel bir ürün çalışan bayanlar için çok ideal 15 dk içinde dümdüz saçlara kavuşuyorsunuz fiyatı burada çok uygun sorunsuz teslim aldım herkese tavsiye ederim buradan rahatlıkla alın,Positive
4 e 3 bir odam var. daha önce 24w tasarruflu ampül kullanıyordum odada. yetiyorda artıyordu. philipsin 8w lık led lambasını aldım odaya taktım. diğerine göre biraz loş durdu ama tatminkar. neticede biri 24 biri 8w lık lamba.. bence düşünmeden alın,Positive
kayma veya patinaj yapmıyor. ,Positive
fiyat cok uygun kapina kadarda geliyo kargo ucreti yok daha ne olsun,Positive
Caminin her yerinde ayrı bir mihrap ve giriş için açıklık vardır .,Notr
24 6 zımbalar için ideal.fiyatı uygun daha önce aynı markanın değişik kırtasiye ürünleri kullandığım için zımba telinde de denemek amacıyla aldık.sorunsuz kullanıyoruz.kırılma kopma gibi sıkıntılar yaşatmadı.fiyatı  diğerlerine göre daha uygun olduğu için alınabilir,Positive
 gördüm görecegiim en berbat en sıkıcı fılm dıyebılırım kımseye tavsıye etmem ozellıkle sevgılısı ıle bırlıkteyken hadi romantık fılm ızleyelım dıyıp ızlemeye kalkmayın yarıda kalır ,Negative
 arkadaşlar açıkçası ben bu filmden bişey anlamadım.karar sizin ister izleyin ister izlemeyin.... ,Negative
Polonya böylece geriden gelerek grubu birinci bitirmiş oldu .,Notr
"ürünün beyazını anneme aldım ve bence fiyatına göre özellikleri, görünümü çok güzel.bu fiyat aralığında kesinlikle tavsiye ederim...",Positive
Mızrak savaşlarında ve daha sonraki birçok macerada önemli rol oynamıştır .,Notr
Derya Alabora ise kuzenidir .,Notr
rezalet    otele gttiğimizde bize odayı temizliyorlar diye  saat bizi yemek ile oyaladılar  odaya çıktığımızda oda temizlenmemiş toz toprak içindeydi banyo çıkanların pisliği ile duruyodu yataklar eskiydi yırtıktı halıya yalınayak basılamazdı  odayı kenddimz temizledik  büyük  çocuk  bebek o pis odada kaldık havlular noksandı buz dolabı boş ve pisti yemekler öğlen  akşam aynıydı ve sadece yabancılara özeldi  odanın bir tek manzarası güzeldi  plaj düzensiz şezlanktaki mindeler pislik içindeydi ve sayılı şezlanklarda minder vardı çalışanalar uzman değildi resepsiyon kendi halinde ve otel rus ağırlıklı olduğu için yemekler ve çucuk animasyonları ruslara özeldi havuzları pisti ve bizim bir gecemizi geri çektiler bize borçlular bir hafta içinde kartımıza iade edilecek dediler hala paramız gelmedi eğlence sıfır   tek paramız yanmasın diye otelde kaldık otel bakımsız eşyaları eşki çalışanalrı uzman değil bu otel  yıldız olamazz   bunlar denetlenmiyormuuuu  turizm bakanlığı uyuomuu  ama biz safari tur u kabahatli buluyoruz görmediği bilmediği oteli nasıl pazarlar   hepsi hakkında şikayettee bulundum sorunlarımızı yetkiliyle görüştük anlattık olamaz böyle bir şey dediler özür dilediler telafi edecez dediler odanızı değiştircez dediler ve hiç bir dedikleri olmadı ve bizi tanımamazlıktan geldiler  ayrıca odanın banyo lama düğmesi yoktu çocuklar çarpılmasın diye hep ben açtım kapttım  ve bu durumları kamerayla çektik ilgili yerlere ulaşacak insnlar oraya bedava tatil yapmaya gitmio turistler hem ön ödmeli hem ucuz tatil geçiriyorlar  biz hem pahalı hemde kötü bir tatil yaptık bence bu otel denetlenmeli elden geçirilmeli kendi insanlarını kandırmamalı olmuyos bu otele yerlileri almasınlar  kimse parayı sokaktan toplamıoo yaziklar olsunn eşşek şekası gibi bir otel,Negative
" Tamam Antony Hopkins süper ötesi oynamış.Ancak arkadaşlar sizcede süresi çok az değilmiydi.Bence filmin tek kusuru bu Hannibal biraz geri planda kalmış,eğer onu biraz daha ileri taşıyabilselerdi film süper olurdu. 9/10 ",Positive
"sipariş verdim ürünüm tarafıma kısa sürede ulaştı, fiyat skalasına göre güzel bir ürün, i̇lgili firma ürünü ile sonuna kadar ilgileniyor .. tavsiye ederim. ",Positive
Galatasaray Lisesi ve İstanbul Üniversitesi Hukuk Fakültesi mezunudur .,Notr
işe yarıyor ve keyfli bir çalışma şekli var tavsiye ederim bende mekik sehpası var çalışmaya başlamadan önce twister la 15-20 dk lık bir egzersizden sonra mekiğe geçiyorum çok yararlı oluyo fiyat olarakta iyi,Positive
"i̇sme aldanıp da başka markalara bakmayın.7 aydır kullanıyorum,10bin kilometre yol yaptım.gittiğim yolun büyük bir kısmı asfalt ve bozuk.lastikler bana mısın demedi.yol tutuşu ve ses bakımından da çok iyi.petlas tak,yoluna bak.",Positive
bu bezi bu boyda heryerde bulamıyorum ve ayrıca kargoda bedava hiç kaçırmayın derim tavsiye ediyorum hızlı gönderim için teşekkürler hepsiburada çok memnun kaldım,Positive
cok begendim. piyasadaki isigi en yuksek en kaliteli led ampul bence. bekledigimin cok cok ustunde bi urun. 800 lumel yani 800 mum isigi gucunde. 9w icin cok iyi bi deger. diger 9w lar genelde 600 lumel. kalite bu degerden belli zaten...,Positive
"Kilisede Ermenice ""E"" harfi yazıldığına rağmen korunma listede ""Süryani Kilise"" olarak kaydedilmiştir .",Notr
ürün gayet güzel ekran çözünürlüğü iyi 1 tane daha almayı düşünüyorum,Positive
güzel kıl dökme yapmıyor,Positive
